code,slug,title,category,propertyType,province,municipality,barangay,address,listingSource,developer,owner,broker,agent,listingType,lotAreaMin,lotAreaMax,price,pricePerSqm,priceDisplay,reservationFee,paymentTerms,zoning,documentType,titleStatus,status,featured,visibility,mainImage,images,remarks
ZLI-0001,near-riverfront-lot-bani-masinloc-masinloc,Near Riverfront Lot Bani Masinloc,Beachfront & Riverfront,Riverfront Lot,Zambales,Masinloc,Bani,Bani Masinloc Zambales,Broker,JehVan Prive Properties PH,Vanessa Ann Doctolero Ukwu,Broker Vanessa Ukwu,Steven Cristobal,Pre Selling,385,451,423500,1100,"Starts PHP 423,500",0.0,Installment / Straight Payment Available,Agricultural Zone,Mother Title,Clean Title,Available,YES,Public,/images/properties/zli-0001/main.jpg,/images/properties/zli-0001/main.jpg|/images/properties/zli-0001/1.jpg,Approved
ZLI-0002,near-riverfront-lot-pinagrealan-candelaria-candelaria,Near Riverfront Lot Pinagrealan Candelaria,Beachfront & Riverfront,Riverfront Lot,Zambales,Candelaria,Pinagrealan,Pinagrealan Candelaria Zambales,Broker,JehVan Prime Properties PH,Vanessa Ann Doctolero Ukwu,Borker Vanessa Ukwu,Steven Cristobal,Pre Selling,277,887,221600,800,"Starts PHP 221,600",,Cash / Installment / Straight Payment,Agricultural Zone,Mother Title,Clean Title,Available,YES,Public,/images/properties/zli-0002/main.jpg,/images/properties/zli-0002/main.jpg,Approved
ZLI-0003,dirita-iba-zambales-iba,Dirita Iba Zambales,Residential,Residential Lot,Zambales,Iba,Dirita,Dirita Iba Zambales,Broker,JehVan Prime Properties PH,Vanessa Ann Doctolero Ukwu,Broker Vanessa Ukwu,Steven Cristobal,Pre Selling,107,127,513600,4800,"Starts Php 513,600",5000.0,Cash / Installment / Straight,Agricultural Zone,Mother Title,Clean Title,Available,YES,Public,,,Approved
ZLI-0004,macarang-palauig-zambales-palauig,Macarang Palauig Zambales,Residential,Residential Lot,Zambales,Palauig,Macarang,Macarang Palauig Zambales,Broker,JehVan Prime Properties PH,Vanessa Ann Doctolero Ukwu,Broker Vanessa Ukwu,Steven Cristobal,Pre Selling,150,500,225000,1500,"Starts Php 225,000",10000.0,Cash / Installment / Straight Payment,Agricultural Zone,Mother Title,Clean Title,Available,YES,Public,,,Approved
ZLI-0005,mambog-botolan-zambales-botolan,Mambog Botolan Zambales,Residential,Residential Lot,Zambales,Botolan,Mambog,Mambog Botolan Zambales,Broker,FE&S Realty Development and Services,Ericka Lagman Kelly,Broker Ericka Kelly,Steven Cristobal,Pre Selling,100,180,250000,2500,"Starts Php 250,000",500.0,Spotcash / Installment / Straight monthly,Agricultural Zone,Mother Title,Clean Title,Available,YES,Public,,,Approved
ZLI-0006,near-beachfront-naulo-sta-cruz-zambales-sta-cruz,Near Beachfront Naulo Sta. Cruz Zambales,Beachfront & Riverfront,Near Beach Lot,Zambales,Sta. Cruz,Naulo,Naulo Sta. Cruz Zambales,Broker,FE&S Realty Services and Development,Ericka Lagman-Kelly,Broker Ericka Lagman-Kelly,Steven Cristobal,Pre Selling,99,100,198000,2000,"Starts Php 198,000",5001020.0,Spotcash / Flexible Terms / Straight Monthly,Agricultural Zone,Mother Title,Clean Title,Available,YES,Public,,,Approved
ZLI-0007,sta-lucia-capas-tarlac-capas,Sta. Lucia Capas Tarlac,Residential,Residential Lot,Tarlac,Capas,Sta. Lucia,"Sta, Lucia, Capas, Tarlac",Broker,FE&S Realty Development and Services,Ericka Lagman-Kelly,Broker Ericka Lagman-Kelly,Steven Cristobal,Pre Selling,100,100,279000,2790,"Starts Php 279,000",500.0,Spotcash / Straight Monthly,Residential Zone,Mother Title,Clean Title,Available,YES,Public,,,Approved
ZLI-0008,maluid-victoria-tarlac-maluid,"Maluid Victoria, Tarlac",Residential,Residential Lot,Tarlac,Maluid,Victoria,"Maluid, Victoria, Tarlac",Broker,FE&S Realty Services and Developement,Ericka Lagman-Kelly,Broker Ericka Lagman-Kelly,Steven Cristobal,Pre Selling,100,150,135000,1350,"Starts Php 135,000",5007.0,Spotcash / Flexible terms / Straight Monthly,Agricultural Zone,TCT,Clean Title,Available,YES,Public,,,Approved
ZLI-0009,san-agustin-iba-zambales-iba,San Agustin Iba Zambales,Beachfront & Riverfront,Residential Lot,Zambales,Iba,San Agustin,"Purok 2, Marangla, San Agustin, Iba, Zambales",Broker,Terra Aurea Real Estate Development,Eldie Rea Quennie G. Tabura,Broker Eldie Tabura,Steven Cristobal,Pre Selling,100,448,180000,1800,"Starts Php 180,000 ",50003.0,Spotcash / Flexible terms / Straight Monthly,Residential Zone,Mother Title,Clean Title,Available,YES,Public,,,Approved
ZLI-0010,maloma-sta-maria-balingtagac-san-felipe-zambales-san-felipe,"Maloma Sta. Maria & Balingtagac San Felipe, Zambales",Residential,Residential Lot,Zambales,San Felipe,Sta. Maria,"Barrio Maloma Sta. Maria & Balingtagac San Felipe, Zambales",Broker,Terra Aurea Real Estate Development,Eldie Rea Quennie G. Tabura,Broker Eldie Tabura,Steven Cristobal,Individual Lot,100,145,350000,3500,"Starts Php 350,000",5000.0,Spotcash / Flexible Terms / Straight monthly,Residential Zone,Mother Title,Clean Title,Available,YES,Public,,,Approved
ZLI-0011,mixed-use-investment-opportunity-iba,Mixed-Use Investment Opportunity,Commercial,Mixed Use,Zambales,Iba,Palanginan,"Govic Hi-way, Palanginan, Iba, Zambales",Private Owner,Leynes Ville Subdivision,Frenzel Abraham,,Steven Cristobal,Pre Selling,250,300,2500000,10000,"Starts Php 2,500,000",20.0,Spotcash / Flexible Terms,Commercial Zone,Mother Title,Clean Title,Available,YES,Public,,,Approved
ZLI-0012,mixed-use-investment-opportunity-iba,Mixed-Use Investment Opportunity,Investment,Commercial Lot,Zambales,Iba,Dirita,"Dirita-Baloguen, Iba, Zambales",Private Owner,,Frenzel Abraham,,Steven Cristobal,Pre Selling,200,245,2400000,12000,"Starts 2,400,000",20.0,Spotcash / Flexible terms,Commercial Zone,Mother Title,Clean Title,Available,YES,Public,,,Approved
